cellType,CpG,LM,formula,nObs,AIC,meanLeverage,maxLeverage,OutlierLabIDs,OutlierIDs,Intercept.betaEstimate,LM.betaEstimate,Age.betaEstimate,Gender.betaEstimate,Batch.betaEstimate,Intercept.pval,LM.pval,Age.pval,Gender.pval,Batch.pval,Intercept.stdError,LM.stdError,Age.stdError,Gender.stdError,Batch.stdError,Intercept.tStat,LM.tStat,Age.tStat,Gender.tStat,Batch.tStat,FDR
Tmem,cg19928764,LM38,CpG ~ as.numeric(LM) +Age + Gender + Batch,47,-9.6872157907512,0.106382978723404,0.651913623726714,"116769,116815","10-129-09,10-061-09",-5.19174962474581,-0.000120883217514027,0.0250406298338835,-0.827479341451883,0.269919092470776,6.13019263762816E-10,7.63582201608579E-08,0.0286508080235988,0.0258473494302719,0.327187533810053,0.651277854166419,1.86040268603361E-05,0.0110494637169555,0.35815125281619,0.272271761115381,-7.97163544182047,-6.49769097956697,2.2662303325598,-2.31041867073005,0.991359116219149,0.000435694130528612
Tmem,cg04023028,LM38,CpG ~ as.numeric(LM) +Age + Gender + Batch,47,9.89392630039599,0.106382978723404,0.651913623726714,"116769,116815","10-129-09,10-061-09",-6.56895265388791,-0.000112173477058109,0.0251268703257681,-0.788400095593921,0.127380036437712,3.04660522271791E-10,1.49254172992113E-05,0.0718867530456108,0.0810968720551999,0.705958751670364,0.802110504642651,2.29126251996226E-05,0.0136084635172826,0.44109726792796,0.335328521169701,-8.18958561927132,-4.89570601713313,1.84641493831079,-1.78736109452095,0.379866394881598,0.0269001103332531
Tmem,cg14341579,LM38,CpG ~ as.numeric(LM) +Age + Gender + Batch,47,35.8725294362598,0.106382978723404,0.651913623726714,"116769,116815","10-129-09,10-061-09",-6.19174384689447,-0.000149352488837752,0.0503251751578038,-1.39297769178629,0.131544829866599,6.41212598865523E-07,1.27497553433189E-05,0.00758776999314805,0.0211355514145046,0.76750404906614,1.05744881005239,3.0206471692216E-05,0.0179404875883067,0.581513118688784,0.442074681275374,-5.85536036168758,-4.94438709557195,2.80511747019657,-2.39543640034677,0.297562460458254,0.0238421496328075
Tmem,cg13492103,LM38,CpG ~ as.numeric(LM) +Age + Gender + Batch,47,-72.6155751299432,0.106382978723404,0.651913623726714,"116769,116815","10-129-09,10-061-09",-4.54538805952426,-4.66272709703888E-05,0.0151381965777494,-0.472458557858074,0.146186149987912,5.11305593289992E-17,1.49491395710214E-05,0.0105803739427257,0.0135848020094297,0.300323417345552,0.333447599875471,9.52507146513953E-06,0.0056572124059794,0.183369778167577,0.139400356816973,-13.6314913084448,-4.89521481713164,2.67591094188881,-2.57653448992182,1.04867844907921,0.0269001103332531
Tmem,cg07095230,LM38,CpG ~ as.numeric(LM) +Age + Gender + Batch,47,2.40792998708006,0.106382978723404,0.651913623726714,"116769,116815","10-129-09,10-061-09",-7.12369076240933,-0.000152596872387597,0.0523579427579339,-1.37199275321184,-0.108439977497966,3.54900530362949E-12,7.24232311392673E-09,0.000150803324731354,0.00162937416593603,0.727945297984726,0.740709215136227,2.1158671442514E-05,0.0125667402094268,0.40733142033991,0.309659235592554,-9.61739184127631,-7.2120252352416,4.16639016048556,-3.36824680027614,-0.350191323344381,8.79077129926489E-05
Tmem,cg00800993,LM38,CpG ~ as.numeric(LM) +Age + Gender + Batch,47,-21.6440429903481,0.106382978723404,0.651913623726714,"116769,116815","10-129-09,10-061-09",-6.52451887816137,-8.98883478041362E-05,0.0376386098832552,-0.945577845406648,0.269059539998249,2.0787062588912E-14,2.1634384612292E-06,0.000375073949169999,0.00454719508777823,0.268132634375224,0.573487461442319,1.63819114506734E-05,0.0097296858119739,0.315372696117284,0.239750883751976,-11.3769163527172,-5.48704881446794,3.86843014364709,-2.99828696982378,1.12224629076485,0.00579905341878195
Tmem,cg07085962,LM38,CpG ~ as.numeric(LM) +Age + Gender + Batch,47,-5.52858080536052,0.106382978723404,0.651913623726714,"116769,116815","10-129-09,10-061-09",-5.53212414519521,-9.59314991835031E-05,0.0160143258078738,-1.09814407983926,-0.0190715604132329,3.72632645585869E-10,1.32143607123505E-05,0.172877604646172,0.00541025435867573,0.946888004574058,0.680737766099207,1.94455616820632E-05,0.0115492753195205,0.374351871797911,0.284587705919785,-8.12665966352304,-4.93333649868245,1.3866087148175,-2.93345422467148,-0.0670147023800403,0.0244371598643773
Tmem,cg14232643,LM38,CpG ~ as.numeric(LM) +Age + Gender + Batch,47,13.0811392922899,0.106382978723404,0.651913623726714,"116769,116815","10-129-09,10-061-09",-5.44313707468505,-0.000127997290669518,0.017377847144197,-0.654220476071694,0.0734592766161646,6.21715848365989E-08,2.87982707720962E-06,0.22391027530168,0.159055460138758,0.833315970606448,0.829773611123258,2.37028335150339E-05,0.0140777908395619,0.456309786178712,0.34689329751088,-6.55978570747353,-5.40008394305826,1.23441577888493,-1.43372002066919,0.211763320719279,0.00727098316106559
Tmem,cg19878733,LM38,CpG ~ as.numeric(LM) +Age + Gender + Batch,47,-21.342808266668,0.106382978723404,0.651913623726714,"116769,116815","10-129-09,10-061-09",-5.12953802127604,-7.87472041572549E-05,0.0214365418539271,-0.606195268464401,-0.0716274898511719,3.07240455149794E-11,2.08835284143665E-05,0.0336542750983056,0.0621875649672314,0.767322395384979,0.575328221435031,1.64344935369961E-05,0.00976091581714139,0.316384968365305,0.240520427751975,-8.91584634677147,-4.79158082845602,2.19616091927377,-1.91600527546073,-0.297802105711512,0.0350293904138999
Tmem,cg21959334,LM38,CpG ~ as.numeric(LM) +Age + Gender + Batch,47,2.58658647719366,0.106382978723404,0.651913623726714,"116769,116815","10-129-09,10-061-09",5.353254178359,0.000135364288281421,-0.024484395668859,0.474019003611602,-0.158643436098939,7.20790998503044E-09,1.10744524905263E-07,0.0585337509203212,0.251993766471934,0.611788516594288,0.742118346454586,2.11989238735291E-05,0.0125906472796196,0.408106330992597,0.310248333875626,7.21347774776593,6.38543206669321,-1.94464947870406,1.16150857659741,-0.511343394232495,0.000591458156920634
